,Gross domestic product 2021,,,,
,,,,,
,,,,(millions of,
,Ranking,,Economy,US dollars),
,,,,,
USA,1,,United States," 23,315,081 ",
CHN,2,,China," 17,734,063 ",
JPN,3,,Japan," 4,940,878 ",
DEU,4,,Germany," 4,259,935 ",
IND,5,,India," 3,176,295 ",
GBR,6,,United Kingdom," 3,131,378 ",
FRA,7,,France," 2,957,880 ",
ITA,8,,Italy," 2,107,703 ",
CAN,9,,Canada," 1,988,336 ",
KOR,10,,"Korea, Rep."," 1,810,956 ",
RUS,11,,Russian Federation," 1,778,783 ",a
BRA,12,,Brazil," 1,608,981 ",
AUS,13,,Australia," 1,552,667 ",
ESP,14,,Spain," 1,427,381 ",
MEX,15,,Mexico," 1,272,839 ",
IDN,16,,Indonesia," 1,186,093 ",
NLD,17,,Netherlands," 1,012,847 ",
SAU,18,,Saudi Arabia," 833,541 ",
TUR,19,,Türkiye," 819,035 ",
CHE,20,,Switzerland," 800,640 ",
POL,21,,Poland," 679,445 ",
SWE,22,,Sweden," 635,664 ",
BEL,23,,Belgium," 594,104 ",
THA,24,,Thailand," 505,947 ",
IRL,25,,Ireland," 504,183 ",
ISR,26,,Israel," 488,527 ",
ARG,27,,Argentina," 487,227 ",
NOR,28,,Norway," 482,175 ",
AUT,29,,Austria," 480,368 ",
NGA,30,,Nigeria," 440,834 ",
ZAF,31,,South Africa," 419,015 ",
BGD,32,,Bangladesh," 416,265 ",
ARE,33,,United Arab Emirates," 415,022 ",
EGY,34,,"Egypt, Arab Rep."," 404,143 ",
DNK,35,,Denmark," 398,303 ",
SGP,36,,Singapore," 396,987 ",
PHL,37,,Philippines," 394,086 ",
MYS,38,,Malaysia," 372,981 ",
HKG,39,,"Hong Kong SAR, China"," 369,176 ",
VNM,40,,Vietnam," 366,138 ",
IRN,41,,"Iran, Islamic Rep."," 359,713 ",
PAK,42,,Pakistan," 348,263 ",
CHL,43,,Chile," 317,059 ",
COL,44,,Colombia," 314,464 ",
FIN,45,,Finland," 297,302 ",
ROU,46,,Romania," 284,088 ",
CZE,47,,Czech Republic," 281,778 ",
PRT,48,,Portugal," 253,663 ",
NZL,49,,New Zealand," 249,886 ",
PER,50,,Peru," 223,249 ",
GRC,51,,Greece," 214,874 ",
IRQ,52,,Iraq," 207,889 ",
UKR,53,,Ukraine," 200,086 ",a
KAZ,54,,Kazakhstan," 197,112 ",
HUN,55,,Hungary," 181,848 ",
QAT,56,,Qatar," 179,677 ",
DZA,57,,Algeria," 163,044 ",
MAR,58,,Morocco," 142,866 ",b
SVK,59,,Slovak Republic," 116,527 ",
ETH,60,,Ethiopia," 111,271 ",
KEN,61,,Kenya," 110,347 ",
CUB,62,,Cuba," 107,352 ",
PRI,63,,Puerto Rico," 106,526 ",
ECU,64,,Ecuador," 106,166 ",
KWT,65,,Kuwait," 105,960 ",
DOM,66,,Dominican Republic," 94,243 ",
LKA,67,,Sri Lanka," 88,927 ",
OMN,68,,Oman," 88,192 ",
GTM,69,,Guatemala," 85,986 ",
LUX,70,,Luxembourg," 85,506 ",
BGR,71,,Bulgaria," 84,056 ",
GHA,72,,Ghana," 77,594 ",
CIV,73,,Côte d'Ivoire," 70,043 ",
UZB,74,,Uzbekistan," 69,239 ",
HRV,75,,Croatia," 68,955 ",
BLR,76,,Belarus," 68,205 ",
TZA,77,,Tanzania," 67,841 ",c
AGO,78,,Angola," 67,404 ",
LTU,79,,Lithuania," 66,445 ",
MMR,80,,Myanmar," 65,092 ",
CRI,81,,Costa Rica," 64,282 ",
PAN,82,,Panama," 63,605 ",
SRB,83,,Serbia," 63,082 ",
SVN,84,,Slovenia," 61,749 ",
URY,85,,Uruguay," 59,319 ",
COD,86,,"Congo, Dem. Rep."," 55,351 ",
AZE,87,,Azerbaijan," 54,622 ",
TUN,88,,Tunisia," 46,687 ",
JOR,89,,Jordan," 45,744 ",
CMR,90,,Cameroon," 45,338 ",
TKM,91,,Turkmenistan," 45,231 ",
LBY,92,,Libya," 42,817 ",
UGA,93,,Uganda," 40,530 ",
BOL,94,,Bolivia," 40,408 ",
LVA,95,,Latvia," 39,854 ",
PRY,96,,Paraguay," 39,495 ",
BHR,97,,Bahrain," 38,869 ",
EST,98,,Estonia," 37,191 ",
NPL,99,,Nepal," 36,289 ",
SDN,100,,Sudan," 34,326 ",
MAC,101,,"Macao SAR, China"," 30,124 ",
SLV,102,,El Salvador," 28,737 ",
HND,103,,Honduras," 28,489 ",
CYP,104,,Cyprus," 28,408 ",d
ZWE,105,,Zimbabwe," 28,371 ",
SEN,106,,Senegal," 27,625 ",
KHM,107,,Cambodia," 26,961 ",
PNG,108,,Papua New Guinea," 26,594 ",
ISL,109,,Iceland," 25,602 ",
TTO,110,,Trinidad and Tobago," 24,460 ",
BIH,111,,Bosnia and Herzegovina," 23,365 ",
LBN,112,,Lebanon," 23,132 ",
ZMB,113,,Zambia," 22,148 ",
HTI,114,,Haiti," 20,944 ",
GAB,115,,Gabon," 20,217 ",
BFA,116,,Burkina Faso," 19,738 ",
MLI,117,,Mali," 19,140 ",
LAO,118,,Lao PDR," 18,827 ",
GEO,119,,Georgia," 18,629 ",e
ALB,120,,Albania," 18,256 ",
PSE,121,,West Bank and Gaza," 18,037 ",
BWA,122,,Botswana," 17,615 ",
MLT,123,,Malta," 17,364 ",
BEN,124,,Benin," 17,145 ",
GIN,125,,Guinea," 16,092 ",
MOZ,126,,Mozambique," 15,777 ",
MNG,127,,Mongolia," 15,286 ",
NER,128,,Niger," 14,915 ",
AFG,129,,Afghanistan," 14,787 ",
JAM,130,,Jamaica," 14,658 ",
MDG,131,,Madagascar," 14,473 ",
NIC,132,,Nicaragua," 14,013 ",
BRN,133,,Brunei Darussalam," 14,007 ",
ARM,134,,Armenia," 13,861 ",
MKD,135,,North Macedonia," 13,825 ",
MDA,136,,Moldova," 13,679 ",f
COG,137,,"Congo, Rep."," 13,366 ",
MWI,138,,Malawi," 12,627 ",
NAM,139,,Namibia," 12,311 ",
GNQ,140,,Equatorial Guinea," 12,269 ",
TCD,141,,Chad," 11,780 ",
MUS,142,,Mauritius," 11,529 ",
BHS,143,,"Bahamas, The"," 11,209 ",
SYR,144,,Syrian Arab Republic," 11,080 ",
RWA,145,,Rwanda," 11,070 ",
NCL,146,,New Caledonia," 10,071 ",
MRT,147,,Mauritania," 9,996 ",
XKX,148,,Kosovo," 9,412 ",
TJK,149,,Tajikistan," 8,746 ",
MCO,150,,Monaco," 8,596 ",
KGZ,151,,Kyrgyz Republic," 8,543 ",
TGO,152,,Togo," 8,413 ",
GUY,153,,Guyana," 8,044 ",
SOM,154,,Somalia," 7,628 ",
IMN,155,,Isle of Man," 7,315 ",
BMU,156,,Bermuda," 7,287 ",
GUM,157,,Guam," 6,123 ",
LIE,158,,Liechtenstein," 6,114 ",
PYF,159,,French Polynesia," 6,055 ",
CYM,160,,Cayman Islands," 5,898 ",
MNE,161,,Montenegro," 5,861 ",
MDV,162,,Maldives," 5,406 ",
BRB,163,,Barbados," 4,844 ",
SWZ,164,,Eswatini," 4,743 ",
FJI,165,,Fiji," 4,296 ",
VIR,166,,Virgin Islands (U.S.)," 4,204 ",
SLE,167,,Sierra Leone," 4,042 ",
FRO,168,,Faroe Islands," 3,650 ",
TLS,169,,Timor-Leste," 3,621 ",
LBR,170,,Liberia," 3,509 ",
DJI,171,,Djibouti," 3,483 ",
AND,172,,Andorra," 3,330 ",
ABW,173,,Aruba," 3,126 ",
GRL,174,,Greenland," 3,076 ",
SUR,175,,Suriname," 2,985 ",
BDI,176,,Burundi," 2,780 ",
CUW,177,,Curaçao," 2,700 ",
BTN,178,,Bhutan," 2,540 ",
CAF,179,,Central African Republic," 2,516 ",
LSO,180,,Lesotho," 2,496 ",
BLZ,181,,Belize," 2,492 ",
GMB,182,,"Gambia, The"," 2,038 ",
CPV,183,,Cabo Verde," 1,936 ",
LCA,184,,St. Lucia," 1,691 ",
GNB,185,,Guinea-Bissau," 1,639 ",
SLB,186,,Solomon Islands," 1,631 ",
SMR,187,,San Marino," 1,541 ",
ATG,188,,Antigua and Barbuda," 1,471 ",
SYC,189,,Seychelles," 1,454 ",
COM,190,,Comoros," 1,296 ",
MNP,191,,Northern Mariana Islands," 1,182 ",
GRD,192,,Grenada," 1,123 ",
VUT,193,,Vanuatu, 956 ,
TCA,194,,Turks and Caicos Islands, 943 ,
VCT,195,,St. Vincent and the Grenadines, 904 ,
KNA,196,,St. Kitts and Nevis, 861 ,
WSM,197,,Samoa, 844 ,
ASM,198,,American Samoa, 709 ,
DMA,199,,Dominica, 554 ,
STP,200,,São Tomé and Principe, 527 ,
TON,201,,Tonga, 469 ,
FSM,202,,"Micronesia, Fed. Sts.", 404 ,
MHL,203,,Marshall Islands, 260 ,
PLW,204,,Palau, 218 ,
KIR,205,,Kiribati, 207 ,
NRU,206,,Nauru, 133 ,
TUV,207,,Tuvalu, 63 ,
VGB,,,British Virgin Islands, -   ,
CHI,,,Channel Islands, -   ,
ERI,,,Eritrea, -   ,
GIB,,,Gibraltar, -   ,
PRK,,,"Korea, Dem. People's Rep.", -   ,
SXM,,,Sint Maarten (Dutch part), -   ,
SSD,,,South Sudan, -   ,
MAF,,,St. Martin (French part), -   ,
VEN,,,"Venezuela, RB", -   ,
YEM,,,"Yemen, Rep.", -   ,
,,,,,
,,,,,
,,,,,
WLD,,,World," 96,513,077 ",
,,,,#N/A,
,,,,,
EAS,,,East Asia & Pacific," 30,911,686 ",
ECS,,,Europe & Central Asia," 25,082,834 ",
LCN,,,Latin America & Caribbean," 5,454,429 ",
MEA,,,Middle East & North Africa," 3,676,799 ",
NAC,,,North America," 25,310,703 ",
SAS,,,South Asia," 4,088,771 ",
SSF,,,Sub-Saharan Africa," 1,920,899 ",
LIC,,,Low income," 506,017 ",
LMC,,,Lower middle income," 8,742,535 ",
UMC,,,Upper middle income," 27,104,087 ",
HIC,,,High income," 59,829,674 ",
,,,,,
,".. Not available.  
Note: Table list 217 economies, but rankings include only those with confirmed GDP estimates for at least one year during the last three years period. Figures in italics are for 2020 or 2019.
a. Based on data from official statistics of Ukraine and Russian Federation; by relying on these data, the World Bank does not intend to make any judgment on the legal or other status of the territories concerned or to prejudice the final determination of the parties' claims.  b. Includes Western Sahara.  c. Covers mainland Tanzania only.  d. Data are for the area controlled by the government of Cyprus.  e. Excludes Abkhazia and South Ossetia.  f. Excludes Transnistria.",,,,
,,,,,
,,,,,
,GDP data source: http://data.worldbank.org/data-catalog/world-development-indicators,,,,
,GDP projections:  http://data.worldbank.org/data-catalog/global-economic-prospects,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
